state,density_bucket,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
post_gold,1,inverse,9,1,1.0,1.0,1.0,1.0,1.0,,,0.0007085800170898438
post_gold,1,single,0,4,1.0,1.0,1.0,1.0,1.0,,,0.007172703742980957
post_gold,1,symmetric,14,2,1.0,1.0,1.0,1.0,1.0,,,0.0011237859725952148
post_gold,1,type,5,8,1.0,1.0,1.0,1.0,1.0,,,0.0016418620944023132
post_gold,1,valueRequiresStatement,15,26,1.0,1.0,1.0,1.0,1.0,,,0.06528174647918117
post_gold,17_64,conflictWith,3,720412,0.7397961166665741,0.9476868791746945,0.9696497287004743,0.9593138671339956,0.964454106872533,0.9876450311130723,0.9948739351175103,0.22223999115776874
post_gold,17_64,distinct,2,354718,0.9784448491477737,0.996884849373305,0.9983750846310088,0.9984412456205053,0.9984081640296931,0.9976714700736958,0.9999346675767633,0.027475637685889173
post_gold,17_64,inverse,9,34015,0.7751286197265912,0.9779509040129355,0.976807385898295,0.9951831904725783,0.9859096716014129,0.9847258862434572,0.9931538772753143,0.2383644224728939
post_gold,17_64,itemRequiresStatement,4,219744,0.984677624872579,0.984677624872579,0.984677624872579,1.0,0.9922796655056739,0.8643583932755149,0.9969761215534737,0.005312092877567518
post_gold,17_64,oneOf,12,1930,0.9989637305699481,0.9989637305699481,0.9989637305699481,1.0,0.9994815966822187,0.7943464730290457,0.9997308588159726,0.12383988104336005
post_gold,17_64,single,0,587533,0.9988153856889741,0.9988153856889741,0.9988153856889741,1.0,0.9994073418087996,0.9312851753034321,0.9998587703362174,0.0010479403583832775
post_gold,17_64,symmetric,14,2596,0.9992295839753467,0.9992295839753467,0.9992295839753467,1.0,0.9996146435452794,0.9317656129529683,0.9999455029508257,0.07714123002186024
post_gold,17_64,type,5,207092,0.9749531609139899,0.9832007030691673,0.9843249628993205,0.9986726430747134,0.9914468977487566,0.960453781547991,0.9987022625950439,0.009133563267711715
post_gold,17_64,valueRequiresStatement,15,9381,0.9929645027182603,0.9929645027182603,0.9929645027182603,1.0,0.9964698331193839,0.6240187706371281,0.9946638293523256,0.035436876520852846
post_gold,17_64,valueType,16,146770,0.8975676228112012,0.9669823533419636,0.9773459130853497,0.9860706261006862,0.9816888848583779,0.9798398015792047,0.997010587359024,0.07158411480898223
post_gold,2_4,conflictWith,3,229,0.37554585152838427,0.8471615720524017,0.8493150684931506,0.7209302325581395,0.779874213836478,0.935030086192877,0.8868247151595534,0.5906993718655155
post_gold,2_4,distinct,2,470,1.0,1.0,1.0,1.0,1.0,,,0.001296677614780182
post_gold,2_4,inverse,9,107,1.0,1.0,1.0,1.0,1.0,,,0.007931968876134593
post_gold,2_4,itemRequiresStatement,4,1064,1.0,1.0,1.0,1.0,1.0,,,0.0069785158997191545
post_gold,2_4,oneOf,12,9,1.0,1.0,1.0,1.0,1.0,,,0.30096093151304454
post_gold,2_4,single,0,652,1.0,1.0,1.0,1.0,1.0,,,0.0009180667575883206
post_gold,2_4,symmetric,14,352,1.0,1.0,1.0,1.0,1.0,,,0.03342261334711858
post_gold,2_4,type,5,1094,1.0,1.0,1.0,1.0,1.0,,,0.006946278446553199
post_gold,2_4,valueRequiresStatement,15,13,1.0,1.0,1.0,1.0,1.0,,,0.04313203004690315
post_gold,2_4,valueType,16,262,1.0,0.9694656488549618,1.0,0.9694656488549618,0.9844961240310077,,,0.07485037314072816
post_gold,5_16,conflictWith,3,22006,0.5823411796782696,0.8969371989457421,0.9425933697020562,0.8763948497854077,0.9082895268904165,0.9624674097839442,0.9737322953348297,0.3549412932521352
post_gold,5_16,distinct,2,13095,0.9981672394043528,0.9935089728904162,0.9983880871968068,0.9951036646010252,0.9967431702364075,0.9858019024303165,0.9999737158947773,0.010150388037944503
post_gold,5_16,inverse,9,2900,0.9917241379310345,0.993103448275862,0.9934346924671734,0.9996522948539638,0.9965337954939342,0.9020485628187297,0.9990161421357772,0.011340504987486476
post_gold,5_16,itemRequiresStatement,4,18649,0.9954957370368385,0.9954957370368385,0.9954957370368385,1.0,0.9977427849733971,0.9463125056109166,0.999734514578772,0.004883931832975983
post_gold,5_16,oneOf,12,273,0.9963369963369964,0.9963369963369964,0.9963369963369964,1.0,0.998165137614679,0.8455882352941176,0.9993870532063027,0.13656882576016718
post_gold,5_16,single,0,17983,0.9992214869599065,0.9992214869599065,0.9992214869599065,1.0,0.9996105919003115,0.8203890827854321,0.999779557001977,0.0013655423123692537
post_gold,5_16,symmetric,14,642,0.9984423676012462,0.9984423676012462,0.9984423676012462,1.0,0.9992205767731879,0.5397815912636506,0.999041191621505,0.05817140680607233
post_gold,5_16,type,5,14656,0.9812363537117904,0.9824645196506551,0.9831030236694486,0.9993046380641124,0.9911376254353598,0.971557294662781,0.9993871414467629,0.006512422870039347
post_gold,5_16,valueRequiresStatement,15,866,0.9953810623556582,0.9953810623556582,0.9953810623556582,1.0,0.9976851851851852,0.7389791183294664,0.9983098142827802,0.032388925208230494
post_gold,5_16,valueType,16,7517,0.9176533191432752,0.9666090195556738,0.9735004986465309,0.9905769788344447,0.9819645038442193,0.9661713891455976,0.9959571034166853,0.05747421033315201
post_gold,65_plus,conflictWith,3,1100824,0.6884969804437403,0.9272508593562641,0.9564401132363121,0.9370113231844246,0.9466260383676168,0.9819511638750491,0.9909606066285856,0.25750638580593044
post_gold,65_plus,distinct,2,319378,0.9998434456975747,0.9968877004677843,0.9998900767578297,0.9969968183184688,0.9984413515395182,0.866387194358152,0.9999545839169814,0.009063253485324822
post_gold,65_plus,inverse,9,5361,0.9664241745942921,0.9563514269725797,0.9726734186890885,0.9824358232001544,0.9775302477434222,0.6602028780372728,0.9805608983614529,0.14711037688436757
post_gold,65_plus,itemRequiresStatement,4,466436,0.994224288005214,0.994224288005214,0.994224288005214,1.0,0.9971037801367051,0.8823292715652118,0.9986969840554432,0.007761318199754773
post_gold,65_plus,oneOf,12,1119,0.9964253798033958,0.9964253798033958,0.9964253798033958,1.0,0.9982094897045658,0.7448430493273543,0.9988239480823693,0.15289503319972955
post_gold,65_plus,single,0,762609,0.9991817563128681,0.9991817563128681,0.9991817563128681,1.0,0.9995907107072441,0.7566712081955984,0.9996574781287795,0.0019315667458781772
post_gold,65_plus,symmetric,14,1106,0.9972875226039783,0.9972875226039783,0.9972875226039783,1.0,0.9986419194205524,0.5509217286189181,0.9982002769630274,0.10788483731785481
post_gold,65_plus,type,5,529955,0.9288430149729694,0.973852496910115,0.9765314335349479,0.9957805564302329,0.9860620623963354,0.971206236303966,0.9967618797495171,0.04070481369476501
post_gold,65_plus,valueRequiresStatement,15,10081,0.9971233012597956,0.9971233012597956,0.9971233012597956,1.0,0.9985595788009736,0.468560039518641,0.9954861028866617,0.0877916535301443
post_gold,65_plus,valueType,16,312429,0.8580669528116788,0.9659794705357058,0.9801026383118384,0.9802525318462428,0.9801775793484281,0.9822546500832973,0.9963828784701517,0.1160036619484986
pre,1,inverse,9,1,1.0,1.0,1.0,1.0,1.0,,,0.0009865760803222656
pre,1,single,0,4,1.0,1.0,1.0,1.0,1.0,,,0.005584090948104858
pre,1,symmetric,14,2,1.0,1.0,1.0,1.0,1.0,,,0.0023379921913146973
pre,1,type,5,22,1.0,1.0,1.0,1.0,1.0,,,0.016754670576615813
pre,1,valueRequiresStatement,15,26,1.0,1.0,1.0,1.0,1.0,,,0.05685377579468942
