state,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
post_gold,conflictWith,3,1843471,0.7072381393577659,0.9424476978482439,0.9645792716939063,0.9536430038051102,0.9590799625419051,0.986822544703024,0.993511247943958,0.24389955118486265
post_gold,distinct,2,687661,0.9887735381241629,0.9986941239942355,0.999308806249568,0.9993705336198287,0.999339668981502,0.9980676705582493,0.999955728176777,0.015067507275095142
post_gold,inverse,9,42384,0.8147178180445451,0.9791666666666666,0.9806582481001086,0.9940343459500159,0.987300993772741,0.9769271613029671,0.9923213745313099,0.19080903735198154
post_gold,itemRequiresStatement,4,705893,0.9912947146380542,0.9912947146380542,0.9912947146380542,1.0,0.9956283289972333,0.880983733011721,0.9982718171664408,0.002999442737514443
post_gold,oneOf,12,3331,0.9978985289702792,0.9978985289702792,0.9978985289702792,1.0,0.9989481592787377,0.772649131854908,0.9994319311600786,0.10123809317646353
post_gold,single,0,1368781,0.9990254102007553,0.9990254102007553,0.9990254102007553,1.0,0.9995124675282908,0.9009653720052577,0.9998439960411,0.000918997342195768
post_gold,symmetric,14,4698,0.9987228607918263,0.9987228607918263,0.9987228607918263,1.0,0.9993610223642173,0.8062304631997727,0.9996615900745318,0.06378000130953818
post_gold,type,5,752805,0.9426518155432018,0.9757546775061271,0.9785060842675555,0.9961613961019288,0.9872548129630534,0.9695410136572437,0.9974165681174707,0.030996650316229203
post_gold,valueRequiresStatement,15,20367,0.9951391957578436,0.9951391957578436,0.9951391957578436,1.0,0.997563676633444,0.5689610232979091,0.9965356730974443,0.04908246109211348
post_gold,valueType,16,466978,0.8715207140379204,0.9686666181276206,0.9788048823944332,0.9853850671161553,0.982083952697325,0.9825198036958599,0.9959837630096859,0.09782895209950161
pre,conflictWith,3,1843471,0.7164360057738907,0.9458570273142349,0.9670417022422567,0.9570449350320921,0.962017349080316,0.9878185740131247,0.9940504230374386,0.2374433447305429
pre,distinct,2,431550,0.9406951685783802,0.9983362298690766,0.9997952664619332,0.998435794924093,0.9991150682432749,0.9995055074241374,0.9999047807408514,0.0639657261350381
pre,inverse,9,42384,0.3294167610419026,0.9790958852397131,0.9891515786323507,0.946927374301676,0.9675790398126465,0.9911165597694622,0.9892153559577576,0.6599316701200441
pre,itemRequiresStatement,4,705718,0.9935229085838819,0.9945105552076041,0.9946482562140243,0.9998545240869604,0.9972445951674438,0.8690218237105543,0.9986427746961519,0.0019028361170384603
pre,oneOf,12,3331,0.7577304112879015,0.7577304112879015,0.7577304112879015,1.0,0.8621690862510675,0.6328713986375161,0.8575131612363076,0.09818416769459454
pre,single,0,1368781,0.9985768358853607,0.9985768358853607,0.9985768358853607,1.0,0.9992879112330906,0.9235333762626505,0.9998300827810411,0.0003292219433170605
pre,symmetric,14,4698,0.945295870583227,0.945295870583227,0.945295870583227,1.0,0.9718787613524456,0.839367776563802,0.9847940964733012,0.045350271166512746
pre,type,5,752048,0.9428600302108376,0.9772168797736315,0.9805940418012952,0.9955378548984876,0.9880094446442792,0.9714904229673669,0.997630599743915,0.033538146333228346
pre,valueRequiresStatement,15,20344,0.9631340935902477,0.9630357845064884,0.9631304689804345,0.9998979279371236,0.9811698717948718,0.9071745432275187,0.9957822196590993,0.035569213263359364
pre,valueType,16,466401,0.8707635704040085,0.9698092414038564,0.9804131089042909,0.985007079101262,0.9827047250332555,0.9835970318621138,0.9964103318956522,0.10246962288720524
