state,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
post_gold,conflictWith,3,1843471,0.7072381393577659,0.9424476978482439,0.9645792716939063,0.9536430038051102,0.9590799625419051,0.9868225446191746,0.9935112479852741,0.24389955112247266
post_gold,distinct,2,687661,0.9887735381241629,0.9986941239942355,0.999308806249568,0.9993705336198287,0.999339668981502,0.9980676702724885,0.9999557281789048,0.015067507240781791
post_gold,inverse,9,42384,0.8147178180445451,0.9791666666666666,0.9806582481001086,0.9940343459500159,0.987300993772741,0.97692715761527,0.9923213585124819,0.19080903733053542
post_gold,itemRequiresStatement,4,705893,0.9912947146380542,0.9912947146380542,0.9912947146380542,1.0,0.9956283289972333,0.88098373882574,0.9982718171932754,0.0029994427777916884
post_gold,oneOf,12,3331,0.9978985289702792,0.9978985289702792,0.9978985289702792,1.0,0.9989481592787377,0.772649131854908,0.9994319312271739,0.10123809290805477
post_gold,single,0,1368781,0.9990254102007553,0.9990254102007553,0.9990254102007553,1.0,0.9995124675282908,0.9009653706347747,0.9998439960403502,0.0009189973290884589
post_gold,symmetric,14,4698,0.9987228607918263,0.9987228607918263,0.9987228607918263,1.0,0.9993610223642173,0.8062304631997727,0.9996615900745318,0.06378000151253399
post_gold,type,5,752805,0.9426518155432018,0.9757546775061271,0.9785060842675555,0.9961613961019288,0.9872548129630534,0.96954101197623,0.9974165668539374,0.030996650319826076
post_gold,valueRequiresStatement,15,20367,0.9951391957578436,0.9951391957578436,0.9951391957578436,1.0,0.997563676633444,0.5689610232979092,0.9965356731213744,0.04908246092530126
post_gold,valueType,16,466978,0.8715207140379204,0.9686666181276206,0.9788048823944332,0.9853850671161553,0.982083952697325,0.9825198036139519,0.9959837641102129,0.09782895209043084
pre,conflictWith,3,1843471,0.7164360057738907,0.9458570273142349,0.9670417022422567,0.9570449350320921,0.962017349080316,0.9878185737647182,0.9940504227696693,0.2374433446406847
pre,distinct,2,431550,0.9406951685783802,0.9983362298690766,0.9997952664619332,0.998435794924093,0.9991150682432749,0.9995055074241374,0.9999047807410245,0.06396572611791054
pre,inverse,9,42384,0.3294167610419026,0.9790958852397131,0.9891515786323507,0.946927374301676,0.9675790398126465,0.9911165585094702,0.9892153541807737,0.65993166996302
pre,itemRequiresStatement,4,705718,0.9935229085838819,0.9945105552076041,0.9946482562140243,0.9998545240869604,0.9972445951674438,0.8690218227745,0.998642774702431,0.001902836099571236
pre,oneOf,12,3331,0.7577304112879015,0.7577304112879015,0.7577304112879015,1.0,0.8621690862510675,0.632871398637516,0.8575131136504964,0.09818416803457898
pre,single,0,1368781,0.9985768358853607,0.9985768358853607,0.9985768358853607,1.0,0.9992879112330906,0.9235333700656785,0.9998300827692798,0.00032922190286305
pre,symmetric,14,4698,0.945295870583227,0.945295870583227,0.945295870583227,1.0,0.9718787613524456,0.839367776563802,0.9847940964733012,0.04535027114113828
pre,type,5,752048,0.9428600302108376,0.9772168797736315,0.9805940418012952,0.9955378548984876,0.9880094446442792,0.9714904222289454,0.9976305996427143,0.03353814631591437
pre,valueRequiresStatement,15,20344,0.9631340935902477,0.9630357845064884,0.9631304689804345,0.9998979279371236,0.9811698717948718,0.9071745772515396,0.9957822197151364,0.03556921310221824
pre,valueType,16,466401,0.8707635704040085,0.9698092414038564,0.9804131089042909,0.985007079101262,0.9827047250332555,0.9835970310859571,0.9964103316379487,0.10246962289915333
